Room,Time,Name,Department,Abstract,Narrative
252,10:35 - 10:50,Melissa Goldberg,Institute for a Secure & Sustainable Environment - East Tennessee Clean Fuels Coalition,East Tennessee Clean Fuels - STEM deployment and beyond,"As one of two staff members of the East Tennessee Clean Fuels Coalition,  Melissa Goldberg uses STEM concepts daily to promote the deployment of Alternative Fuels and Advanced Vehicle Technologies around Tennessee. Her background in Liberal Arts and Social Science, however, has led to a unique perspective on working in STEM. Melissa will discuss both the Coalition's work and her background, in hopes of providing interdisciplinary insights to women interested in pursuing STEM careers."
253,08:30 - 08:50,Katherine Manz,Bredesen Center,Corrosion in Shale Particle Size and Chemical Properties Due to Additives Used in Hydraulic Fracturing,"During hydraulic fracturing, oil and gas development companies inject wellbores with “chemical slurries,” which contain water, proppants, acids, and additives. This research investigates the impact of synthetic hydraulic fracturing fluid on the physical/chemical properties of shale, including particle size and chemical composition. As changes in shale characteristics influence wastewater quality, the information gained from this study may be used to develop treatment technologies for promoting wastewater reuse as the interactions between shale and additives may form toxic and environmentally threatening contaminants. "
253,08:55 - 09:15,Sara Isbill,Chemistry,Interaction of Atomic Oxygen with Ag(111) and Ag(110) Surfaces:   Oxygen Adsorption at Surface versus Subsurface,"Ethylene oxide, a chemical used as a starting molecule in the production of consumer products such as antifreeze, polyethylene, and polyester, is industrially formed via an epoxidation reaction over an oxygen-covered silver surface; however, the mechanism of the reaction and the underlying catalysis by silver is not completely understood. In our research, we use computational methods to better understand the structure and properties of the catalytic, oxygen-covered silver surface in order to design optimal industrial catalytic conditions for silver that can produce increased yields of ethylene oxide over undesired side products."
253,09:20 - 09:40,Brianna Watson,Chemistry,Probing the surfaces of CdSe quantum dots using sum frequency generation,"This research is based on laser spectroscopy techniques, which employ femtosecond lasers, to study CdSe quantum dots. Quantum dots are popular materials due to their light emission and absorption characteristics and used in such applications as solar cells, LEDs, and bioimaging probes. The focus of this research is developing a new technique to study changes in electronic structure which directly affects their ideal characteristics."
253,09:45 - 10:05,Fatema Wahida,Chemistry,"Thermodynamic and Modeling Study of Cyclopentane on MgO (100), hBN and Graphite Basal Plane",Understanding the interaction between adsorbed molecules and surfaces is a necessity for developing synthetic methods to produce materials with specific functional properties. The principal aim of this work is to identify the role of surface and molecular symmetry on the physicochemical properties of two dimensional layers of cycloalkane adsorbed on three different substrates. 
253,10:10 - 10:30,Molly Pattullo,Earth and Planetary Sciences,Soil Sealing by Algae: An in situ Treatment Option for Reducing Infiltration beneath Unlined Algae Cultivation Ponds,"While plastic pond liners limit cultivation fluid seepage from algae production ponds, costs for their installation and maintenance have significant impact on the economic feasibility of algal biofuel production. In this study, laboratory-scale soil column experiments demonstrated that algae suspended in a nutrient media can effectively reduce fluid infiltration into soils beneath algae production facilities. These findings suggest the potential of this technology as an alternative to plastic pond liners."
253,10:35 - 10:50,Jianqiu Zheng,Oak Ridge National Lab - Biosciences Division,The importance of soil pH in controlling organic carbon transformations in Arctic polygon tundra,"Explicit aqueous phase redox, pH, and mineral interaction dynamics were coupled to the carbon decomposition model, reducing uncertainties in predictions of greenhouse gases (CO2 and CO4) production from Arctic polygonal tundra soils."
Mary Greer,08:30 - 08:50,Tian Chen,Microbiology,Phosphatidylserine Synthase Affects the Cell Wall MAPKs in C. albicans,"We are identifying the signal pathways involved in cell wall unmasking in pathogenic Candida albicans, and hoping to find new therapeutic target for fungal pathogens. "
Mary Greer,08:55 - 09:15,Victoria Couture,Animal Science,Relationship between the clinical and behavioral response to a mastitis challenge with Streptococcus uberis from Holstein dairy cows,"Treatment of mastitis, one of the most economically important diseases in the dairy industry, has the potential to be improved by earlier detection through the use of sickness behavior. Our objective was to determine the relationship between clinical signs of mastitis and resting behavior of dairy cows. "
Mary Greer,09:20 - 09:40,Jessica Martinez,"Forestry, Wildlife and Fisheries",Surface Antigen Discovery of Trichomonas and Histomonas Protozoa for Improved Diagnostic Tools,"Trichomonas gallinae and Histomonas meleagridis are parasites that can cause serious disease in birds. Currently, ways to detect and monitor the presence of these parasites are limited; however, this study aims at developing new diagnostic techniques that can address these limitations and help reveal the true impact of these parasites to wild bird flocks."
Mary Greer,09:45 - 10:05,Jordan Steele,Ecology and Evolutionary Biology,Photo Analysis on the Behavioral Effects of Batrachochytrium salamandrivorans on North American Amphibian Species,"This study looks at how B. sal, a divergent form of pathogenic fungus, affects the behavior of North American amphibian species. We developed a standardized method of observing behavioral changes, and used this method to collect data on the exposed specimen. The study is ongoing, so only preliminary results will be shown. 
"
Mary Greer,10:10 - 10:30,Madhumita Dasgupta,Plant Sciences,Transcriptome profiling of resistant vs. susceptible tomato (Solanum lycopersicum) cultivar in response to bacterial wilt,Global transcriptome in tomato has been carried out to understand the resistant mechanism in tomato against bacterial wilt. The result shows a major proportion of defense responsive genes are up and down regulated in resistant tomato cultivar. 
Mary Greer,10:35 - 10:50,Rebecca Trout Fryxell,Entomology & Plant Pathology,Improving surveillance for Aedes mosquitoes and their pathogens in eastern Tennessee,"La Crosse encephalitis is the most commonly diagnosed arbovirus in eastern Tennessee children and is transmitted by three mosquito species: the eastern treehole mosquito, the Asian tiger mosquito, and the Asian bush mosquito. Here I will share with you five years of research conducted on La Crosse virus in eastern Tennessee with overarching goals of improving surveillance for the mosquitoes and the virus. "
